2024-01-01 23:54:48 - 1 -> Miesi¹c: 1, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 1885,68 z³, Zysk netto: 0.00 z³
2024-01-01 23:54:48 - 2 -> Miesi¹c: 2, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 3790.22 z³, Zysk netto: 18.86 z³
2024-01-01 23:54:48 - 3 -> Miesi¹c: 3, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 5713.81 z³, Zysk netto: 56.76 z³
2024-01-01 23:54:48 - 4 -> Miesi¹c: 4, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 7656.63 z³, Zysk netto: 113.90 z³
2024-01-01 23:54:48 - 5 -> Miesi¹c: 5, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 9618.87 z³, Zysk netto: 190.46 z³
2024-01-01 23:54:48 - 6 -> Miesi¹c: 6, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 11600.75 z³, Zysk netto: 286.65 z³
2024-01-01 23:54:48 - 7 -> Miesi¹c: 7, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 13602.43 z³, Zysk netto: 402.66 z³
2024-01-01 23:54:48 - 8 -> Miesi¹c: 8, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 15624.14 z³, Zysk netto: 538.68 z³
2024-01-01 23:54:48 - 9 -> Miesi¹c: 9, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 17666.06 z³, Zysk netto: 694.93 z³
2024-01-01 23:54:48 - 10 -> Miesi¹c: 10, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 19728.41 z³, Zysk netto: 871.59 z³
2024-01-01 23:54:48 - 11 -> Miesi¹c: 11, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 21811.37 z³, Zysk netto: 1068.87 z³
2024-01-01 23:54:48 - 12 -> Miesi¹c: 12, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 23915.17 z³, Zysk netto: 1286.98 z³
2024-01-01 23:54:48 - 13 -> Miesi¹c: 13, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 26040.00 z³, Zysk netto: 1526.14 z³
2024-01-01 23:54:48 - 14 -> Miesi¹c: 14, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 28186.09 z³, Zysk netto: 1786.54 z³
2024-01-01 23:54:48 - 15 -> Miesi¹c: 15, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 30353.63 z³, Zysk netto: 2068.40 z³
2024-01-01 23:54:48 - 16 -> Miesi¹c: 16, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 32542.85 z³, Zysk netto: 2371.93 z³
2024-01-01 23:54:48 - 17 -> Miesi¹c: 17, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 34753.96 z³, Zysk netto: 2697.36 z³
2024-01-01 23:54:48 - 18 -> Miesi¹c: 18, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 36987.18 z³, Zysk netto: 3044.90 z³
